Sl_No,District,Sanctioned_PFC
1,Darrang,Bechimari Block office
2,Darrang,Kalaigaon Block office
3,Darrang,Pachim-Mangaldai Block office
4,Darrang,Pub-Mangaldoi Block office
5,Darrang,Sipajhar Block office
6,Darrang,Dalgaon-Sialmari Block office
7,Darrang,Ghorabandha Gaon Panchayat
8,Darrang,Mangaldai Municipal Board
9,Darrang,"Kharupetia Town Committee, Kharupetia,"
10,Darrang,"Irrigation Office, Mangaldai Town."
11,Darrang,Dipila Gaon Panchayat
12,Kamrup Metro,"Guwahati Metropolitian Developemt Authority Bhangagarh,
Guwahati-05"
13,Kamrup Metro,"Paribahan Bhawan, Khanapara, Guwahati-"
14,Kamrup Metro,"District Transport Office, Betkuchi, Guwahati-35"
15,Kamrup Metro,"Directorate of Health Services, Hengerabari, Guwahati-36"
16,Kamrup Metro,"Directorate of Inland Water Transport (AIWTD), Ulubari,
Guwahati-07"
17,Kamrup Metro,"Directorate of Employment and Craftsmen Training, Rehabari,
Guwahati-8"
18,Kamrup Metro,"The BDO, Chandrapur Development Block, Chandrapur-781150"
19,Kamrup Metro,"The BDO, Dimoria Development Block, Sonapur-782402"
20,Kamrup Metro,"Maloibari Gaon Panchayat Office, Maloibari, Sonapur-782403"
21,Kamrup Metro,"Rani Gaon Panchayat Office, Rani-781131"
22,Kamrup Rural,Bezera Block Office
23,Kamrup Rural,Bidhia jajikona Block Office
24,Kamrup Rural,Boko Block Office
25,Kamrup Rural,Chayani Block Office
26,Kamrup Rural,Chaygaon Block Office
27,Kamrup Rural,Hajo Block Office
28,Kamrup Rural,Sualkuchi Block Office
29,Kamrup Rural,Kamalpur Block Office
30,Kamrup Rural,Rampur Block Office
31,Kamrup Rural,Rangia Block Office
32,Kamrup Rural,Rangia Sub-Registrar Office
33,Kamrup Rural,Boko Sub-Registrar Office
34,Kamrup Rural,Rangia Circle office
35,Kamrup Rural,Baidyagarh GP office (Rangia)
36,Kamrup Rural,Sub Register office Amingaon
37,Kamrup Rural,Koya Circle Office
38,Morigaon,Morigaon Municiopality Board
39,Morigaon,"DTO, Morigaon"
,,
40,Morigaon,Zilaparisad Morigaon (CEO)
41,Morigaon,Bhurbandha Development Block
42,Morigaon,Laharighat Development Block
43,Morigaon,Mayong Development Block
44,Morigaon,Kapili Development Block
45,Morigaon,Moirabari Development Block
46,Morigaon,Paghali GP (Dolong Ghat Block)
47,Nalbari,Barkhetri Block Development Office
48,Nalbari,Barbhag Block Development Office
49,Nalbari,Paschim Nalbari BDO
50,Nalbari,Madhupur BDO
51,Nalbari,Mukalmua Registrar Office
52,Nalbari,Belsor Gaon Panchayat
53,Nalbari,Borigog Bonbhag Block
54,Nalbari,Nalbari Municipality Board
55,Nalbari,Nalbari DTO
56,Barpeta,Bajali Block Office
57,Barpeta,Barpeta Block Office
58,Barpeta,Bhawanipur Block Office
59,Barpeta,Chakchaka Block Office
60,Barpeta,Chenga Block Office
61,Barpeta,Gomaphulbari Block Office
62,Barpeta,Mandia BDO
63,Barpeta,Pakabetabari Block Office / Pakabetabari Block Area
64,Barpeta,Ruposi Block Office
65,Barpeta,Sarukhetri Block Office
66,Barpeta,Barpeta Deputy Registrar Office
67,Barpeta,Sorbhog Sub Registrar
68,Barpeta,Kalgachia Sub-Registrar Office
69,Barpeta,Barpeta Municipal Board
70,Barpeta,I.S. office Berpeta
71,Bongaigaon,Boitamari Block Office
72,Bongaigaon,Dangtol Block Office
73,Bongaigaon,Manikpur Block Office
74,Bongaigaon,Srijangram Block Office
75,Bongaigaon,Tapattary Block Office
76,Bongaigaon,Abhyapuri Municipal Board (Town Committee)
77,Bongaigaon,Bongaigaon DTO Office
78,Bongaigaon,Bongaigaon Sub-Registrar office
79,Bongaigaon,Bongaigaon Municipal Board
80,Dhubri,"Office of the BDO , Agomoni Dev Block"
81,Dhubri,Bilasipara Dev Block
82,Dhubri,Chapar Salkocha Dev Block
83,Dhubri,"Office of the BDO , Debitola Dev Block"
,,
84,Dhubri,"Office of the BDO , Golokganj Dev Block"
85,Dhubri,"Office of the BDO , Gauripur Dev Block"
86,Dhubri,"Office of the BDO , Hatidhura Dev Block"
87,Dhubri,"Office of the BDO , Mahamaya Dev Block (Bagribari)"
88,Dhubri,Office of the Bilasipara Municipal Board
89,Dhubri,"Office of the BDO , Rupshi Dev Block"
90,Dhubri,"Office of the Sr.Sub Registrar, Dhubri"
91,Dhubri,Office of the Sapatgram Municipal Board
92,Dhubri,"Office of the DTO , Dhubri"
93,Dhubri,Office of the Dhubri Municipal Board
94,Dhubri,Dhubri District Agriculture Office
95,Goalpara,Balijana Development Block
96,Goalpara,Jaleshwar Development Block
97,Goalpara,Kharmuja Development Block
98,Goalpara,Krishnai Development Block
99,Goalpara,Kushdhowa Development Block
100,Goalpara,Lakhipur Development Block
101,Goalpara,Matia Development Block
102,Goalpara,DRDA Goalpara
103,Goalpara,"Lakhipur Sub Register Office, Goalpara"
104,Goalpara,"Goalpara Municipalti Board, Goalpara"
105,Goalpara,SDAO Dudhnoi
106,"South Salmara-
Mankachar",Malir Alga GP
107,"South Salmara-
Mankachar",South Salmara Circle Office (Location in lieu of Baladoba GP)
108,"South Salmara-
Mankachar",Fekamari Block Office
109,"South Salmara-
Mankachar","Bagapara GP/ Chang Bengerbhita GP (Location in lieu of jangal
Block Office)"
110,"South Salmara-
Mankachar",Kukurmara GP
111,"South Salmara-
Mankachar",Kakripara GP Office
112,"South Salmara-
Mankachar",Tumni GP
113,Lakhimpur,Telahi Block Development Office
114,Lakhimpur,North Lakhimpur Municipal Board
115,Lakhimpur,Sonari Chapori Gaon Panchayat
116,Lakhimpur,Bihpuria Circle Office
117,Lakhimpur,Naoboicha Circle Office
118,Lakhimpur,Karunabari Block Development Office
119,Lakhimpur,"Sub-Divisional Office(C), Dhakuakhana"
120,Lakhimpur,Narayanpur Revenue Circle Office
121,Lakhimpur,Harmoti Gaon Panchayat
122,Lakhimpur,Bihpuria Municipal Board
,,
123,Lakhimpur,Bordoibam Gaon Panchayat
124,Dhemaji,Bordoloni Block Development Office
125,Dhemaji,Dhemaji Block Development Office
126,Dhemaji,"Murkongselek Tribal Development Office, Dhemaji"
127,Dhemaji,Sissiborgaon Block Development Office
128,Dhemaji,"District Rural Development Authority, Dhemaji"
129,Dhemaji,Silapathar Science college Office
130,Dhemaji,Sissimukh Gaon Panchayat
131,Dhemaji,Machkhowa Gaon Panchayat
132,Biswanath,Sub-Registrar Office Biswanath
133,Biswanath,"Deputy Commissioner Office, Biswanath"
134,Biswanath,Pub-Chaiduar Block Development Office
135,Biswanath,Chaiduar Block Development Office
136,Biswanath,Baghmara Block Development Office
137,Biswanath,Behali Block Development Office
138,Biswanath,Biswanath Block Development Office
139,Biswanath,Sakomatha Block Development Office
140,Biswanath,Sootea Block Development Office
141,Biswanath,Biswanath Municipal Board
142,Sonitpur,Dakhin Murhadol Gaon panchayat
143,Sonitpur,Gabharu Block Devlopment office
144,Sonitpur,Balipara Block Development Office
145,Sonitpur,Dhekiajuli Block Devlopment office
146,Sonitpur,Rangapara Block Development Office
147,Sonitpur,Bihaguri Block Development Office
148,Sonitpur,Naduar Block Devlopment office
149,Sonitpur,Borchalla Block Development Office
150,Sonitpur,Tezpur Municipal Board
151,Sonitpur,Dhekiajuli Municipal Board
152,Sonitpur,Rangapara Municipal Board
153,Sonitpur,Jamugurihat Town Committee
154,Sonitpur,Tezpur Development Authority
155,Nagaon,Jakhalabandha PWD Office
156,Nagaon,Rupahi Revenue Circle
157,Nagaon,Laokhua Development Block
158,Nagaon,Kaliabor Revenue Circle
159,Nagaon,Bajiagaon Development Block
160,Nagaon,Paschim Kaliabor Development Block
161,Nagaon,Raha Development Block
162,Nagaon,Barhampur Development Block
163,Nagaon,Kaliabor Development Block
164,Nagaon,Dolongghat Development Block
165,Nagaon,Rupahihat Development Block
166,Nagaon,Kathiatoli Development Block
167,Nagaon,Botadroba Development Block
168,Nagaon,Juria Development Block
169,Nagaon,Nagaon Sadar Revenue Circle Office
,,
170,Nagaon,Raha Revenue Circle Office
171,Nagaon,Kampur Revenue Circle Office
172,Nagaon,Pakhimoria Dev Block
173,Nagaon,Khagarijan Dev Block
174,Golaghat,"Golaghat Central Development Block, kothalguri"
175,Golaghat,"Golaghat South Development Block, Sarupathar"
176,Golaghat,"Golaghat East Development Block, Podumoni"
177,Golaghat,Kakodonga Development Block
178,Golaghat,"Bokakhat SDO (Civil), Bokakhat"
179,Golaghat,Dergaon Rev. Circle
180,Golaghat,Bokakhat West Development Block (Revised)
181,Golaghat,"DTO Office, Golaghat"
182,Golaghat,"Golaghat North Development Block, Dergaon"
183,Golaghat,"Gomari Dev. Block , Gomari (Revised)"
184,Jorhat,Jorhat Municipality Board
185,Jorhat,Mariani Circle Office
186,Jorhat,Titabor Dev Block
187,Jorhat,"North West Dev Block, Dhekorgorah"
188,Jorhat,Teok Circle Office
189,Jorhat,Kaliapani Dev Block
190,Jorhat,"Central Development Block, Chipahikhola"
191,Jorhat,"Jorhat Development Block , Baghchung"
192,Jorhat,Jorhat East Development Block
193,Jorhat,"DTO, Jorhat"
194,Jorhat,"70 No Madhya Khangia GP, Jorhat"
195,Jorhat,89 No Borholla GP
196,Hojai,"Udali Dev Block , Bamun Gaon Lanka"
197,Hojai,"Dhalpukhuri Dev Block , Dhalpukhuri"
198,Hojai,"Lumding Dev Block , Bamun Gaon Lanka"
199,Hojai,Jugijan Dev Block Hojai
200,Hojai,Sub _Registrar Office Hojai
201,Hojai,Doboka Municipality Board
202,Hojai,Hojai Municipalti Board Hojai
203,Hojai,Lanka Municipalty Board
204,Hojai,Lumding Municipalti Board
205,Hojai,Binakandi Dev. Block
206,Hojai,District Agricultural Office
207,Majuli,Ujani Majuli Rev Circle
208,Majuli,"Ujani Majuli Dev Block , Jengraimukh"
209,Majuli,"Majuli Dev Block , Kamalabari"
210,Majuli,Chilakola GP Office
